customer_id,age,gender,region,plan,tenure_months,support_tickets,monthly_spend,churned
0,62,M,LATAM,free,35,1,,1
1,32,F,NA,pro,6,2,121.05,0
2,22,M,EMEA,free,41,3,13.08,0
3,39,F,NA,pro,41,1,106.5,1
4,23,F,NA,pro,46,0,73.59,0
5,60,F,EMEA,free,30,0,,0
6,20,M,NA,free,11,3,24.15,1
7,30,M,NA,free,30,0,13.45,0
8,59,F,EMEA,free,37,0,21.65,0
9,63,M,NA,free,31,0,4.87,0
10,31,F,LATAM,pro,46,4,69.1,1
11,20,M,LATAM,pro,31,0,88.04,0
12,24,F,NA,free,11,1,13.05,0
13,39,F,EMEA,free,4,2,18.97,1
14,31,M,NA,free,46,1,18.56,0
15,56,M,NA,pro,46,1,87.66,0
16,26,M,APAC,free,27,7,22.29,1
17,53,M,EMEA,free,6,0,11.71,1
18,55,M,NA,pro,18,2,110.74,0
19,23,F,EMEA,free,44,2,18.56,0
20,58,M,NA,pro,29,0,84.2,0
21,61,M,EMEA,pro,5,3,79.12,1
22,27,F,NA,free,30,0,18.29,1
23,68,F,LATAM,free,1,0,,1
24,56,F,EMEA,pro,23,2,66.21,0
25,37,F,APAC,free,47,1,19.78,1
26,25,M,LATAM,free,39,2,,1
27,59,M,NA,pro,18,0,108.33,1
28,42,M,APAC,pro,3,1,119.09,1
29,57,F,EMEA,free,2,1,22.09,0
30,28,F,EMEA,free,41,0,16.9,0
31,68,F,EMEA,free,2,4,12.16,1
32,56,F,EMEA,free,38,0,15.06,1
33,59,F,APAC,free,5,4,21.86,1
34,38,M,NA,free,36,1,17.71,1
35,35,F,EMEA,pro,36,0,65.97,0
36,58,F,APAC,pro,21,0,99.97,0
37,53,F,NA,free,32,1,2.42,1
38,60,M,NA,free,25,3,11.28,1
39,28,F,LATAM,free,2,0,9.43,1
40,55,F,NA,free,44,1,15.77,1
41,30,F,EMEA,free,44,2,,1
42,36,M,EMEA,pro,8,1,71.7,0
43,25,M,EMEA,free,26,2,16.18,1
44,23,F,LATAM,free,7,2,16.62,0
45,58,M,LATAM,pro,47,1,59.98,0
46,21,F,NA,free,42,1,6.22,0
47,31,F,APAC,pro,5,2,65.33,1
48,18,F,APAC,free,1,2,15.63,0
49,62,M,EMEA,pro,31,1,76.78,1
50,43,M,EMEA,free,19,5,26.67,1
51,34,F,NA,free,1,2,17.3,1
52,45,F,EMEA,pro,12,2,79.91,0
53,65,F,EMEA,free,21,3,14.46,0
54,62,F,APAC,free,40,3,18.76,1
55,57,M,NA,free,28,1,24.13,1
56,55,M,LATAM,free,34,2,24.46,1
57,18,F,APAC,pro,3,2,83.52,1
58,46,F,APAC,free,31,0,13.26,0
59,22,F,LATAM,pro,36,0,63.79,0
60,62,F,EMEA,pro,32,2,117.23,0
61,46,F,EMEA,pro,5,4,81.25,1
62,31,M,NA,free,9,3,11.15,0
63,30,F,NA,free,20,0,13.44,1
64,50,M,APAC,free,2,0,23.15,0
65,49,F,EMEA,free,31,1,20.13,0
66,38,F,APAC,pro,5,1,82.64,1
67,35,F,EMEA,pro,7,1,61.47,1
68,60,M,NA,pro,31,2,47.54,0
69,36,M,NA,free,8,1,9.78,1
70,42,M,LATAM,pro,44,1,83.45,0
71,27,F,APAC,free,28,1,22.2,1
72,33,F,NA,free,27,1,10.18,1
73,69,F,NA,free,10,2,7.09,1
74,60,M,NA,pro,29,2,102.28,0
75,64,F,NA,free,41,1,14.9,1
76,63,F,EMEA,free,43,0,12.67,0
77,27,M,EMEA,free,39,4,16.0,0
78,48,M,APAC,free,9,1,14.64,1
79,21,F,NA,free,37,4,18.72,1
80,59,F,NA,free,11,1,19.49,0
81,67,F,APAC,free,31,3,18.57,1
82,62,M,APAC,free,22,1,,1
83,28,M,EMEA,pro,32,1,78.33,0
84,40,M,NA,pro,26,0,63.66,0
85,49,F,EMEA,free,6,0,9.16,0
86,32,M,NA,free,31,2,,1
87,39,M,EMEA,pro,46,0,71.53,0
88,32,M,EMEA,pro,44,1,96.19,0
89,52,M,NA,pro,32,1,59.67,0
90,34,M,APAC,pro,29,0,66.8,1
91,18,M,LATAM,pro,20,2,107.08,0
92,43,M,NA,free,35,0,,0
93,24,F,APAC,pro,30,1,53.5,1
94,63,M,NA,free,24,1,16.75,0
95,19,M,APAC,free,24,0,20.99,0
96,53,M,APAC,pro,24,0,114.09,0
97,40,F,EMEA,pro,42,1,103.14,1
